check_id,§25 item,found,severity,detail,evidence
CONT-01,mock usati in test dichiarati LIVE,NO,-,"Nessun modulo di backend/research_pipeline (esclusi i test) contiene unittest.mock, MagicMock, monkeypatch, FIXTURE, DUMMY_ o FAKE_. Scansione su 51 moduli.",evaluation/deliverability/raw/H01_contamination.json
CONT-02,fixture usate dal runtime,NO,-,"Idem. Gli artifact congelati usati in REPLAY non sono fixture: sono risposte reali del modello registrate al commit 6ee64c5 e dichiarate come tali in ogni stage con artifact_origin=RECORDED_REAL_RUN.",backend/research_pipeline/replay.py
CONT-03,cache non dichiarate,PARZIALE,P3,"4 moduli del runtime usano lru_cache a livello di modulo: data_access (2), replay (5), kg_retrieval (3), repository_v3 (3). Sono cache di dataset congelati, motivate nei commenti (candidates.jsonl pesa 72.5 MB e rileggerlo costava ~3 s per chiamata) e invalidabili con cache_clear(). Non alterano i risultati, ma un test che cambi RESEARCH_PIPELINE_DATA_ROOT senza invalidare legge il dataset precedente.",evaluation/deliverability/raw/H01_contamination.json
CONT-04,replay presentati come nuove run,NO,-,"execution_mode.classify_run_mode e' asimmetrico per costruzione: un solo artifact RECORDED_REAL_RUN declassa una run da LIVE a HYBRID, e nessuna combinazione promuove REPLAY a LIVE. HYBRID non e' richiedibile. Verificato: run REPLAY riportano execution_mode=REPLAY, fully_live=false, llm_calls=0.",evaluation/deliverability/raw/F08_smoke_REPLAY.jsonl
CONT-05,output hard-coded,NO,-,"Tutti e 5 gli script di evaluation rieseguiti: gli output sono ricalcolati dagli artifact di input.",evaluation/deliverability/raw/G01_rq_reproduction.jsonl
CONT-06,metriche hard-coded,NO,-,"Riproduzione byte a byte: 6/7, 4/5, 8/9 e 10/11 file identici; le sole differenze sono generated_at e ncbi_requests.",evaluation/deliverability/rq_readiness.json
CONT-07,artifact modificati manualmente,NON RILEVATO,-,"Nessun indizio. Gli artifact riprodotti coincidono con i committati.",-
CONT-08,risultati da branch precedenti,PARZIALE,P3,"Gli artifact dell'enricher congelato provengono dal commit 6ee64c5, che vive in un worktree temporaneo (%TEMP%/codex-v3-document-grounded-claims) su un branch diverso. I dati sono tracciati in questo repository, ma la loro provenienza punta a un albero che potrebbe non sopravvivere.",evaluation/deliverability/repository_state.json
CONT-09,fallback silenziosi,NO,-,"Verificato il contrario: POST /runs in LIVE risponde 503 se la cache manca, l'orchestratore fallisce con DOCUMENT_CACHE_UNAVAILABLE / NO_DOCUMENT_RESOLVED, normalize_requested_mode solleva invece di scegliere un default. Il fallback silenzioso e' stato attivamente rimosso.",evaluation/deliverability/raw/F09_smoke_LIVE.jsonl
CONT-10,try/except che trasformano failure in success,NO,-,"Nessun except con pass/continue/return None silenzioso nei moduli del runtime. RunStore._execute cattura Exception ma imposta status=FAILED ed espone il messaggio.",backend/research_pipeline/run_store.py:184-189
