candidate_id,rule,source_evidence_direction,source_significance,graph_direction,source_support_polarity,source_supported_direction,source_alignment_status,predicate
GCA3-263a07d8c289085997172ac3,gca/3.0/evidence-statement,Supports,Negative,NEGATIVE,SUPPORTS_ASSERTION,NEGATIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-cbe5ec8e94fea805910ff928,gca/3.0/evidence-statement,Supports,Negative,NEGATIVE,SUPPORTS_ASSERTION,NEGATIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-b5ae989ba18548f0f96df5e1,gca/3.0/evidence-statement,Supports,Positive,POSITIVE,SUPPORTS_ASSERTION,POSITIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-3c8fc33b02bbe2fe93844ed1,gca/3.0/evidence-statement,Supports,Positive,POSITIVE,SUPPORTS_ASSERTION,POSITIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-efe5e36fdf1b26809de15d9d,gca/3.0/evidence-statement,Supports,Positive,POSITIVE,SUPPORTS_ASSERTION,POSITIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-444a5a40755b8c7d94700b4e,gca/3.0/evidence-statement,Supports,Positive,POSITIVE,SUPPORTS_ASSERTION,POSITIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-cf4d51190eeda78c45202722,gca/3.0/evidence-statement,Supports,Positive,POSITIVE,SUPPORTS_ASSERTION,POSITIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-42d0e829b4cc2b64ccc58247,gca/3.0/evidence-statement,Supports,Positive,POSITIVE,SUPPORTS_ASSERTION,POSITIVE,SOURCE_ALIGNED,has_evidence_statement
GCA3-223855658355d947eaed1fd9,gca/3.0/evidence-statement,Does Not Support,Resistance,RESISTANCE,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,has_evidence_statement
GCA3-3198cb9ac4e59946e8b10c16,gca/3.0/evidence-to-intervention,Does Not Support,Resistance,RESISTANCE,DOES_NOT_SUPPORT_ASSERTION,,SOURCE_DOES_NOT_SUPPORT,associated_with_resistance_to
GCA3-26dd41b0504758fe50abf9f0,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-8b514ef08394bf58cde1fd2d,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-c0779010a756b88f4cdd73c6,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-c465b9dcd11616b5ac0a6348,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-2d468daba7dd2ae154cd4e63,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-7322bc01c4f89707e515d190,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-a6103e4f2c96a0da20eb9e7d,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-acaa18f72237ca745eb8bbf1,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-6d144c2c5596b0a6c3cdd5f5,gca/3.0/evidence-statement,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,has_evidence_statement
GCA3-482818324d42a0e57350e04c,gca/3.0/evidence-to-intervention,Supports,Resistance,RESISTANCE,SUPPORTS_ASSERTION,RESISTANCE,SOURCE_ALIGNED,associated_with_resistance_to
GCA3-e0006c50ee545b986f1b8481,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-245712ed2eb30e31d069cca9,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-c570deffa089a171ca300248,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-58c53e75099da63433e5e5af,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-20e093f48ac2de7a268e9855,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-8d008bdb3ef095a0213da35d,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-0e8c4af69ce057c5745834a5,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
GCA3-217aa51ecadfe357e2be1adc,gca/3.0/evidence-to-intervention,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,associated_with_sensitivity_to
GCA3-7995ed01a4cea107cb0b66ff,gca/3.0/evidence-statement,Supports,Sensitivity/Response,SENSITIVITY,SUPPORTS_ASSERTION,SENSITIVITY,SOURCE_ALIGNED,has_evidence_statement
