issue_id,severity,blocking,category,status,file,description,verification_in_this_audit
ISS-001,P0,FALSE,SOFTWARE_BUG,CLOSED,backend/research_pipeline/contracts.py,Stop del gate rappresentato come guasto software,"Verificato indipendentemente: 8 casi non eleggibili su 8 terminano STOPPED con stop controllato, 0 chiamate al retrieval, 0 downstream, 0 eccezioni"
ISS-002,P0,FALSE,SOFTWARE_BUG,CLOSED,backend/research_pipeline/determinism/gates.py,Polarita negativa convertita in supporto positivo,"Verificato su tutte le 46864 candidate v2: 0 promosse, 0 nel PRIMARY_BUCKET. Casi limite su case/spazi/punteggiatura/tipi non stringa"
ISS-003,P0,FALSE,ARCHITECTURAL_INCONSISTENCY,CLOSED,orchestrator.py + DossierView.tsx,Quote rigettata presentata come citazione d autore,"8 scenari su 8 corretti + prova end-to-end su 4 run REPLAY reali via API: CASE-2 contiene una voce REJECTED_QUOTE con quote presente, non presentabile"
ISS-004,P1,FALSE,SOFTWARE_BUG,CLOSED,frontend/src/research/stages/EligibilityStage.tsx,npm run build falliva con 6 errori TS2769,npm run build exit 0 verificato
ISS-005,P1,FALSE,EXPERIMENTAL_GAP,CLOSED,evaluation/run_rq4_canonical_runtime.py,RQ4 misurata bypassando l orchestratore,"Rieseguito in directory temporanea: riproduzione identica all artifact committato, 0 path_disagreements su 35 casi"
ISS-006,P1,FALSE,REPRODUCIBILITY_GAP,CLOSED,backend/config + pytest.ini,Dipendenze non pinnate e pytest non dichiarato,"env -u PYTHONPATH pytest -> 3189 passed, 17 skipped, 36890 subtests"
ISS-007,P1,FALSE,SCIENTIFIC_LIMITATION,OPEN,evaluation/rq1_* e rq2_*,Denominatore full-corpus 46864 senza il denominatore end-to-end 16,"Correttamente documentato in docs/pre_freeze_fixes/07_remaining_limits.md e in 06_rq_impact.md. Blocker documentale solo se i report finali confondessero i due denominatori: non lo fanno"
NEW-01,P2,FALSE,ARCHITECTURAL_INCONSISTENCY,OPEN,backend/research_pipeline/determinism/gates.py,"Il ramo THERAPY_DISCOVERY ritorna PRIMA del controllo di polarita: una candidate con fonte Does Not Support riceve DISCOVERED/DISCOVERY_BUCKET senza alcun warning di polarita","NUOVO in questo audit. Non viola i criteri §17: mask.direction=NOT_APPLICABLE (non SUPPORTED) e DISCOVERY_BUCKET != PRIMARY_BUCKET. Popolazione 999 candidate, di cui 1 sola raggiungibile end-to-end (GCA-003ca9889b3d8906d4674f37, Melanoma/NIVOLUMAB)"
NEW-02,P3,FALSE,SOFTWARE_BUG,OPEN,frontend/src 9 file,npm run lint fallisce con 36 errori,"NUOVO in questo audit ma PREESISTENTE a 0219e0a. Nessuno dei file e stato toccato dal fix sprint; i 3 file modificati sono lint-clean. Non e fra i criteri di freeze del §17"
NEW-03,P3,FALSE,SOFTWARE_BUG,OPEN,backend/research_pipeline/determinism/gates.py,"Una stringa di polarita non mappata in evidence_direction ricade su UNKNOWN invece di essere rifiutata","NUOVO in questo audit. Teorico: i valori reali di evidence_direction sono solo Supports, Does Not Support, stringa vuota o assente. Nessuna candidate reale e affetta"
ISS-008,P2,FALSE,ARCHITECTURAL_INCONSISTENCY,OPEN,backend/research_pipeline/retrieval/kg_retrieval_v3.py,147 righe con zero riferimenti nel repository,Invariato
ISS-009,P2,FALSE,ARCHITECTURAL_INCONSISTENCY,OPEN,backend/research_pipeline/casecontext/pipeline.py,Un mismatch letterale viene riportato come OUT_OF_SCOPE,Invariato
ISS-010,P2,FALSE,SCIENTIFIC_LIMITATION,OPEN,backend/research_pipeline/casecontext/control_instructions.py,Rilevatore avversariale come lista chiusa di 22 pattern,Invariato e gia dichiarato
ISS-011,P2,FALSE,EXPERIMENTAL_GAP,OPEN,evaluation/gold/rq1_gca_v3_manual_review.csv,Campione manuale v3 a 70 record non annotato,Invariato
ISS-012,P2,FALSE,EXPERIMENTAL_GAP,OPEN,backend/research_pipeline/casecontext/parser.py,Il parser fallisce il trasporto in ~26 percento dei casi,"Confermato: 9 casi su 35 nel benchmark canonico non raggiungono il gate, contati a parte"
ISS-013,P2,FALSE,DOCUMENTATION_GAP,OPEN,backend/research_pipeline/orchestrator.py,Il docstring descrive un test di parita inesistente,Invariato
ISS-014,P2,FALSE,EXPERIMENTAL_GAP,OPEN,benchmarks/mtb_evidence/exploratory/manual_v3_cases,13 artifact sperimentali untracked,Invariato - ancora untracked nella working tree
ISS-015,P2,FALSE,ARCHITECTURAL_INCONSISTENCY,OPEN,piu file,Tre assi di versionamento condividono la stringa v3,Invariato
ISS-016,P3,FALSE,SOFTWARE_BUG,OPEN,backend/research_pipeline/data_access.py,describe_availability riporta FROZEN_REPLAY dove il runtime fallisce,Invariato
ISS-017,P3,FALSE,REPRODUCIBILITY_GAP,OPEN,evaluation/run_rq1.py e run_gca_v3_audit.py,Non onorano un OUT sostituito,"Invariato. In questo audit gli script NON sono stati rieseguiti: RQ1 verificato per hash e chiusura import"
ISS-018,P3,FALSE,REPRODUCIBILITY_GAP,OPEN,7 artifact committati,Contengono il percorso assoluto dell autore,Invariato
ISS-019,P3,FALSE,SCIENTIFIC_LIMITATION,OPEN,backend/research_pipeline/enrichment/validator_v2.py,Il farmaco puo stare nell unita invece che nella quote,Invariato
ISS-020,P3,FALSE,FUTURE_FEATURE,OPEN,backend/research_pipeline/contracts.py,Narrator e Narrative Verifier non implementati,Invariato
ISS-021,P3,FALSE,DOCUMENTATION_GAP,OPEN,evaluation/rq4_casecontext_robustness/aggregate_metrics.json,endpoint_configuration stale,Invariato
