run_id,case_id,candidate_ids,canonical_statuses,narrative_verifier_status,narrative_text,automatic_reason_codes,reviewer_faithful,reviewer_added_information,reviewer_changed_status,reviewer_changed_polarity,reviewer_recommendation_language,reviewer_critical_omission,reviewer_notes
BENCH-BENCH-DIRECT-00,BENCH-DIRECT-00,GCA-BENCH-0000,DIRECT,PASS,"Il caso BENCH-DIRECT-00 riguarda la valutazione terapeutica per Colorectal Cancer in presenza del biomarcatore KRAS G12D, con focus sull'intervento PANITUMUMAB. Il sistema ha individuato una candidate associata. || Il sistema ha identificato la candidate GCA-BENCH-0000, che associa nel Knowledge Graph il farmaco PANITUMUMAB a una sensibilità per il caso in esame. Lo stato canonico della candidate è DIRECT e la direzione del supporto è SUPPORTED. Il documento selezionato EB-0000 riporta la seguente citazione validata: ""patients with mutations did not respond to the agent in this cohort"".",,,,,,,,
BENCH-BENCH-DIRECT-01,BENCH-DIRECT-01,GCA-BENCH-0001,DIRECT,PASS,"Il caso BENCH-DIRECT-01 riguarda la valutazione terapeutica per un paziente con Melanoma e biomarcatore BRAF V600E, con focus sull'intervento ENCORAFENIB. Il sistema ha individuato una candidate supportata. || Il sistema ha identificato la candidate GCA-BENCH-0001, che associa ENCORAFENIB alla sensibilità per il caso clinico in esame. Lo stato canonico della candidate è DIRECT e la direzione del supporto è SUPPORTED. Il documento selezionato EB-0001 supporta questa relazione; la citazione validata riporta: ""the combination produced durable responses in a subset of patients"".",,,,,,,,
BENCH-BENCH-DIRECT-02,BENCH-DIRECT-02,GCA-BENCH-0002,DIRECT,PASS,"Il caso BENCH-DIRECT-02 riguarda una valutazione terapeutica per Lung Squamous Cell Carcinoma in presenza del biomarcatore MSI-High, con focus sull'intervento NIVOLUMAB. Il sistema ha individuato una candidate associata a tale intervento. || Il sistema ha identificato la candidate GCA-BENCH-0002, che associa nel Knowledge Graph il farmaco NIVOLUMAB alla sensibilità (associated_with_sensitivity_to) per il caso in esame. Lo stato canonico della candidate è DIRECT e la direzione del supporto è SUPPORTED. Il documento selezionato EB-0002 supporta questa relazione; tuttavia, la citazione validata riporta letteralmente: ""no significant difference in progression free survival was observed"".",,,,,,,,
BENCH-BENCH-DIRECT-03,BENCH-DIRECT-03,GCA-BENCH-0003,DIRECT,PASS,"Il caso BENCH-DIRECT-03 riguarda la valutazione terapeutica di INFIGRATINIB per un paziente con Lymphoid Leukemia e FGFR1 Amplification. Il sistema ha individuato una candidate supportata che associa l'intervento al biomarcatore e alla patologia indicati. || Il sistema ha identificato la candidate GCA-BENCH-0003, che associa il farmaco INFIGRATINIB alla sensibilità (associated_with_sensitivity_to) nel contesto di Lymphoid Leukemia e FGFR1 Amplification. Lo stato canonico della candidate è DIRECT e la relazione è SUPPORTED. Il documento EB-0003 fornisce supporto documentale esplicito, riportando che: ""objective responses were reported in previously treated patients"".",,,,,,,,
BENCH-BENCH-DIRECT-04,BENCH-DIRECT-04,GCA-BENCH-0004,DIRECT,PASS,"Il caso BENCH-DIRECT-04 riguarda la valutazione terapeutica per Gastric Cancer in presenza di HER2 Amplification, con focus sull'intervento CETUXIMAB. Il sistema ha individuato una candidate supportata. || Il sistema ha identificato la candidate GCA-BENCH-0004, che associa nel Knowledge Graph il farmaco CETUXIMAB a una sensibilità per il caso clinico in esame. Lo stato canonico della candidate è DIRECT e la direzione del supporto è SUPPORTED. Il documento selezionato EB-0004 supporta questa relazione; la citazione validata riporta: ""resistance emerged after a median of eight months of therapy"".",,,,,,,,
BENCH-BENCH-AMBIGUOUS-05,BENCH-AMBIGUOUS-05,GCA-BENCH-0005,AMBIGUOUS,PASS,"Il caso BENCH-AMBIGUOUS-05 riguarda una valutazione terapeutica per Colorectal Cancer in presenza del biomarcatore KRAS G12D, con focus sull'intervento PANITUMUMAB. Il sistema ha analizzato una candidate associata, ma non ha riscontrato supporto documentale esplicito. || Il sistema ha identificato la candidate GCA-BENCH-0005, che associa nel Knowledge Graph il farmaco PANITUMUMAB a una sensibilità legata al caso clinico. Lo stato canonico della candidate è AMBIGUOUS. Per quanto riguarda il supporto documentale, il documento selezionato EB-0005 non fornisce segnali (NO_DOCUMENT_SIGNAL) e non è stata trovata alcuna citazione validata a supporto della relazione. Il sistema segnala l'assenza di arricchimenti validati disponibili (NO_VALIDATED_ENRICHMENT_AVAILABLE).",,,,,,,,
BENCH-BENCH-AMBIGUOUS-06,BENCH-AMBIGUOUS-06,GCA-BENCH-0006,AMBIGUOUS,PASS,"Il caso BENCH-AMBIGUOUS-06 riguarda una valutazione terapeutica per un paziente con Melanoma e biomarcatore BRAF V600E, con focus sull'intervento ENCORAFENIB. Il sistema ha analizzato una candidate associata, ma non ha riscontrato supporto documentale esplicito per la relazione proposta. || Il sistema ha identificato la candidate GCA-BENCH-0006, che associa nel Knowledge Graph il farmaco ENCORAFENIB a una sensibilità specifica. Lo stato canonico della candidate è AMBIGUOUS. Per quanto riguarda il documento selezionato EB-0006, non è stato trovato alcun segnale documentale (NO_DOCUMENT_SIGNAL) a supporto della relazione; nello specifico, non sono presenti passaggi rilevanti nel documento e non è disponibile alcuna citazione validata.",,,,,,,,
BENCH-BENCH-AMBIGUOUS-07,BENCH-AMBIGUOUS-07,GCA-BENCH-0007,AMBIGUOUS,PASS,"Il caso BENCH-AMBIGUOUS-07 riguarda una valutazione terapeutica per Lung Squamous Cell Carcinoma con biomarcatore MSI-High, focalizzata sull'intervento NIVOLUMAB. Il sistema ha analizzato una candidate associata, ma non ha riscontrato supporto documentale esplicito per confermarne lo stato. || Il sistema ha identificato la candidate GCA-BENCH-0007, che associa nel Knowledge Graph il farmaco NIVOLUMAB a una sensibilità per il caso clinico in esame. Lo stato canonico della candidate è AMBIGUOUS. Per quanto riguarda il supporto documentale, il documento selezionato EB-0007 non fornisce segnali (NO_DOCUMENT_SIGNAL) e non è stata trovata alcuna citazione validata a supporto della relazione. Il sistema segnala l'assenza di arricchimenti validati disponibili (NO_VALIDATED_ENRICHMENT_AVAILABLE).",,,,,,,,
BENCH-BENCH-AMBIGUOUS-08,BENCH-AMBIGUOUS-08,GCA-BENCH-0008,AMBIGUOUS,PASS,"Il caso BENCH-AMBIGUOUS-08 riguarda la valutazione terapeutica di INFIGRATINIB per un paziente con Lymphoid Leukemia e FGFR1 Amplification. Il sistema ha analizzato una candidate associata a questi parametri, ma non ha riscontrato supporto documentale esplicito per confermare la relazione. || Il sistema ha identificato la candidate GCA-BENCH-0008, che associa nel Knowledge Graph il farmaco INFIGRATINIB alla sensibilità per FGFR1 Amplification nel contesto di Lymphoid Leukemia. Lo stato canonico della candidate è AMBIGUOUS. Per quanto riguarda il supporto documentale, il documento selezionato EB-0008 non fornisce segnali (NO_DOCUMENT_SIGNAL) e non è stata trovata alcuna citazione validata a supporto della relazione. Il sistema segnala l'assenza di arricchimenti validati disponibili (NO_VALIDATED_ENRICHMENT_AVAILABLE).",,,,,,,,
BENCH-BENCH-AMBIGUOUS-09,BENCH-AMBIGUOUS-09,GCA-BENCH-0009,AMBIGUOUS,PASS,"Il caso BENCH-AMBIGUOUS-09 riguarda la valutazione terapeutica per Gastric Cancer in presenza di HER2 Amplification, con focus sull'intervento CETUXIMAB. Il sistema ha analizzato una candidate associata, ma non ha riscontrato supporto documentale esplicito per confermarne la relazione. || Il sistema ha identificato la candidate GCA-BENCH-0009, che associa nel Knowledge Graph il farmaco CETUXIMAB a una sensibilità per il caso clinico in esame. Lo stato canonico della candidate è AMBIGUOUS. Per quanto riguarda il supporto documentale, il documento selezionato EB-0009 non fornisce segnali (NO_DOCUMENT_SIGNAL) e non è stata trovata alcuna citazione validata a supporto della relazione. Il sistema segnala l'assenza di arricchimenti validati disponibili (NO_VALIDATED_ENRICHMENT_AVAILABLE).",,,,,,,,
