qid,hop_count,qtype,system,precision,recall,f1,exact,n_pred,n_match,retr_recall,ctx_words,answer
Q001,2,drug_to_gene_cdx,graphrag,0.0,0.0,0.0,0.0,4,0,0.0,0,"FGFR1, FGFR2, FGFR3, FGFR4"
Q001,2,drug_to_gene_cdx,rag_dense,0.0,0.0,0.0,0.0,0,0,0.0,952,NON DETERMINABILE
Q001,2,drug_to_gene_cdx,rag_bm25,1.0,1.0,1.0,1.0,1,1,1.0,943,FLT3
Q001,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,1,1,1.0,944,FLT3
Q002,2,drug_to_gene_cdx,graphrag,0.0,0.0,0.0,0.0,1,0,0.0,0,ROS1
Q002,2,drug_to_gene_cdx,rag_dense,0.0,0.0,0.0,0.0,0,0,0.0,966,NON DETERMINABILE
Q002,2,drug_to_gene_cdx,rag_bm25,0.5,1.0,0.6666666666666666,1.0,2,1,1.0,939,"ALK, EML4"
Q002,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,1,1,1.0,939,ALK
Q003,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,0.0,0,EGFR
Q003,2,drug_to_gene_cdx,rag_dense,1.0,1.0,1.0,1.0,1,1,1.0,948,EGFR
Q003,2,drug_to_gene_cdx,rag_bm25,1.0,1.0,1.0,1.0,1,1,1.0,938,EGFR
Q003,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,1,1,1.0,936,EGFR
Q004,2,drug_to_gene_cdx,graphrag,3.0,1.0,1.5,1.0,1,3,0.0,0,NTRK
Q004,2,drug_to_gene_cdx,rag_dense,1.0,1.0,1.0,1.0,3,3,1.0,948,"NTRK1, NTRK3, NTRK2"
Q004,2,drug_to_gene_cdx,rag_bm25,0.4285714285714285,1.0,0.6,1.0,7,3,1.0,821,"NTRK1, NTRK2, NTRK3, BRAF, EZH2, EGFR, KRAS"
Q004,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,3,3,1.0,941,"NTRK1, NTRK3, NTRK2"
Q005,2,drug_to_gene_cdx,graphrag,0.0,0.0,0.0,0.0,1,0,0.0,0,FIP1L1-PDGFRα
Q005,2,drug_to_gene_cdx,rag_dense,1.0,1.0,1.0,1.0,1,1,1.0,928,RET
Q005,2,drug_to_gene_cdx,rag_bm25,1.0,1.0,1.0,1.0,1,1,1.0,940,RET
Q005,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,1,1,1.0,946,RET
Q006,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,44,KRAS
Q006,2,drug_to_gene_cdx,rag_dense,0.0,0.0,0.0,0.0,0,0,0.0,947,NON DETERMINABILE
Q006,2,drug_to_gene_cdx,rag_bm25,1.0,1.0,1.0,1.0,1,1,1.0,946,KRAS
Q006,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,1,1,1.0,944,KRAS
Q007,2,drug_to_gene_cdx,graphrag,0.5,1.0,0.6666666666666666,1.0,2,1,0.0,0,"MET, EGFR"
Q007,2,drug_to_gene_cdx,rag_dense,0.25,1.0,0.4,1.0,4,1,1.0,959,"MET, BRCA1, BRCA2, PIK3CA"
Q007,2,drug_to_gene_cdx,rag_bm25,1.0,1.0,1.0,1.0,1,1,1.0,940,MET
Q007,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,1,1,1.0,935,MET
Q008,2,drug_to_gene_cdx,graphrag,2.0,1.0,1.3333333333333333,1.0,1,2,0.0,0,BCR-ABL1
Q008,2,drug_to_gene_cdx,rag_dense,0.0,0.0,0.0,0.0,0,0,0.0,951,NON DETERMINABILE
Q008,2,drug_to_gene_cdx,rag_bm25,1.0,1.0,1.0,1.0,2,2,1.0,940,"ABL1, BCR"
Q008,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,2,2,1.0,947,"BCR, ABL1"
Q009,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,PIK3CA
Q009,2,drug_to_gene_cdx,rag_dense,1.0,1.0,1.0,1.0,1,1,1.0,954,PIK3CA
Q009,2,drug_to_gene_cdx,rag_bm25,1.0,1.0,1.0,1.0,1,1,1.0,809,PIK3CA
Q009,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,1,1,1.0,826,PIK3CA
Q010,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,FGFR3
Q010,2,drug_to_gene_cdx,rag_dense,1.0,1.0,1.0,1.0,1,1,1.0,930,FGFR3
Q010,2,drug_to_gene_cdx,rag_bm25,1.0,1.0,1.0,1.0,1,1,1.0,943,FGFR3
Q010,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,1,1,1.0,946,FGFR3
Q011,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,30,BRAF
Q011,2,drug_to_gene_cdx,rag_dense,1.0,1.0,1.0,1.0,1,1,1.0,956,BRAF
Q011,2,drug_to_gene_cdx,rag_bm25,1.0,1.0,1.0,1.0,1,1,1.0,834,BRAF
Q011,2,drug_to_gene_cdx,rag_hybrid,1.0,1.0,1.0,1.0,1,1,1.0,838,BRAF
