claim_id,entity_type,query_value,claim_value,query_concept_id,claim_concept_id,literal_gate_result,ontology_match_type,ontology_distance,ontology_path,shadow_compatible_candidate,disagreement_type,confidence,notes
CLM-091cf6602db85e2a2d41,intervention,pazopanib hydrochloride,ponatinib,,,FAIL,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Nessun mapping di intervento locale verificato per la coppia."
CLM-1d3f469e0b264de4d203,disease,Endometrial Cancer,Endometrial Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-1ebe76eee72069c364bc,disease,Cancer,Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-1fc4af943701d57d45ad,intervention,erlotinib,gefitinib,,,FAIL,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Nessun mapping di intervento locale verificato per la coppia."
CLM-2cafbc4185d367ed50bd,disease,Breast Cancer,Breast Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-32754dd8ee5d24de665b,disease,Cancer,Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-35120fc8e653a16cae3b,disease,Inflammatory Myofibroblastic Tumor,Inflammatory Myofibroblastic Tumor,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-3d66398af20ebdb6fcfe,disease,Cancer,Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-43229efd0cd8f2fd58d5,disease,Head And Neck Squamous Cell Carcinoma,Head And Neck Squamous Cell Carcinoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-45252d017284be327abb,disease,Endometrial Cancer,Endometrial Cancer,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-4a89bb28592af7ebaccf,intervention,amivantamab,amivantamab + lazertinib,,,FAIL,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Nessun mapping di intervento locale verificato per la coppia."
CLM-4cede62c4212e907fd6b,disease,Malignant Pleural Mesothelioma,Malignant Pleural Mesothelioma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
CLM-4ffe85304f3ef5533b58,intervention,erlotinib,egfr tyrosine kinase inhibitor,,,FAIL,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Nessun mapping di intervento locale verificato per la coppia."
CLM-5071bb2d8657ac0fbed0,intervention,infigratinib,infigratinib + pd173074,,,FAIL,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Nessun mapping di intervento locale verificato per la coppia."
CLM-5842e19f516c618ca369,disease,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,,PASS,UNKNOWN,,,false,ONTOLOGY_DATA_MISSING,low,"query side = frozen local graph_evidence_parents parent context; shadow-only; no gate, score, bucket, ranking or provenance mutation; canonical ontology ID unavailable; registry key, when present, is local-only; Termine disease uguale ma non coperto da un concetto locale verificato."
