claim_id,group,parent_id,source_unit_id,pmid,identifier_scope,publication_link_status,text_available,locator,section,text_origin,biomarker_support,disease_support,intervention_support,direction_support,evidence_type_support,population_context_support,final_support_status,supporting_passage,unsupported_elements,confidence,notes
CLM-091cf6602db85e2a2d41,A,GEP-471b69f0462af2167d70,SU-24550739-patient-tacc3-ponatinib-line,24550739,CLAIM_LEVEL,claim_linked,true,ABSTRACT,UNLABELLED,abstract_cache,EXACT,COMPATIBLE,EXACT,PARTIAL,COMPATIBLE,COMPATIBLE,PARTIAL_SUPPORT,"In one example, preliminary anti-tumor activity of pazopanib (in vitro FGFR2 IC50≈350 nM) was noted in a patient with an FGFR2-TACC3 fusion. After progression on pazopanib, the same patient also had stable disease on ponatinib, a pan-FGFR inhibitor (in vitro, FGFR2 IC50≈8 nM).","The passage reports stable disease, not an unqualified sensitivity/response claim; in vitro potency is not the clinical endpoint.",MEDIUM,"Direct PMID/source unit/locator exists; locator precision is ABSTRACT."
CLM-0e59264facd7b2df0e67,A,GEP-b00b74970f6f903b92af,SU-25393796-patient-eml4-alk-i1171s,25393796,CLAIM_LEVEL,claim_linked,true,ABSTRACT,UNLABELLED,abstract_cache,EXACT,EXACT,EXACT,EXACT,EXACT,EXACT,DIRECT_SUPPORT,"This patient and another patient with EML4-ALK variant 3a/b initially responded sequentially to crizotinib and then alectinib, a next-generation ALK inhibitor, but developed acquired resistance to alectinib with the presence of a mutation in amino acid residue 1171 (I1171N and I1171S respectively).","None for the essential claim fields; the abstract is case-level.",HIGH,"Direct abstract support; no stronger full-text locator asserted."
CLM-5ce532268b4aa1661311,A,GEP-93cad24e63b228b720bb,SU-26698910-patient-c1156y-crizotinib-first-line;SU-26698910-patient-c1156y-crizotinib-rechallenge,26698910,CLAIM_LEVEL,claim_linked,true,ABSTRACT,UNLABELLED,abstract_cache,PARTIAL,EXACT,EXACT,EXACT,EXACT,COMPATIBLE,PARTIAL_SUPPORT,"In a patient who had metastatic anaplastic lymphoma kinase (ALK)-rearranged lung cancer, resistance to crizotinib developed because of a mutation in the ALK kinase domain. This mutation is predicted to result in a substitution of cysteine by tyrosine at amino acid residue 1156 (C1156Y).","The abstract says ALK-rearranged lung cancer but does not state EML4 as the fusion partner.",MEDIUM,"The source-unit locator says full_text, but the locally inspected text for this pilot is the cached abstract; therefore locator is conservatively ABSTRACT."
CLM-4ffe85304f3ef5533b58,A,GEP-4be33662c8244659895a,SU-24457318-cohort-egfr-tki,24457318,CLAIM_LEVEL,claim_linked,true,ABSTRACT,RESULTS/CONCLUSION,abstract_cache,COMPATIBLE,EXACT,EXACT,EXACT,EXACT,COMPATIBLE,PARTIAL_SUPPORT,"Seventy EGFR-mutant NSCLC patients who received EGFR-TKIs in our institution between April 2007 and March 2013 were analyzed retrospectively. In multivariate analysis, adenocarcinoma and major mutations (deletions in exon 19 and L858R point mutation in exon 21) were significant predictors of longer PFS.","The effect is reported for the combined major-mutation group, not L858R alone.",MEDIUM,"Aggregate class is literal EGFR-TKI; clinical retrospective cohort."
CLM-90e863f00f134fc3cd3d,A,GEP-d7085106bdd9a024ff4c,SU-24122810-nih3t3-fgfr-inhibitor-assay,24122810,CLAIM_LEVEL,claim_linked,true,ABSTRACT,UNLABELLED/CONCLUSION,abstract_cache,EXACT,COMPATIBLE,PARTIAL,COMPATIBLE,EXACT,PARTIAL,PARTIAL_SUPPORT,"We performed massively parallel whole transcriptome sequencing in eight specimens from cholangiocarcinoma patients ... and identified two fusion kinase genes, FGFR2-AHCYL1 and FGFR2-BICC1. Expression of the fusion kinases in NIH3T3 cells activated MAPK and conferred anchorage-independent growth ... Treatment with the fibroblast growth factor receptor (FGFR) kinase inhibitors BGJ398 and PD173074 effectively suppressed transformation.","The source literal is BGJ398, not the canonical label infigratinib; the result is an NIH3T3 preclinical assay, not a clinical population or partner-specific clinical benefit.",MEDIUM,"Existing source unit and locator are direct, but publication metadata does not supply a claim-level sentence offset."
CLM-8941c177da91f66ff93a,A,GEP-f73a180a63fd22932198,PU-PMID-24122810-cohort-1,24122810,CLAIM_LEVEL,claim_linked,true,ABSTRACT,UNLABELLED/CONCLUSION,abstract_cache,EXACT,EXACT,NOT_APPLICABLE,EXACT,EXACT,EXACT,DIRECT_SUPPORT,"We performed massively parallel whole transcriptome sequencing in eight specimens from cholangiocarcinoma patients without KRAS/BRAF/ROS1 alterations and identified two fusion kinase genes, FGFR2-AHCYL1 and FGFR2-BICC1. FGFR2 fusions occur in 13.6% of intrahepatic cholangiocarcinoma. The expression pattern of these fusions in association with sensitivity to FGFR inhibitors warrant a new molecular classification of cholangiocarcinoma.","The abstract does not assert clinical diagnostic utility or an approved test.",HIGH,"Diagnostic claim is interpreted as subtype definition, matching the structured diagnostic_interpretation."
CLM-1fc4af943701d57d45ad,A,GEP-9f38bf2be2084b5a0a98,SU-24736073-group-gefitinib,24736073,CLAIM_LEVEL,claim_linked,true,ABSTRACT,METHODS/RESULTS,abstract_cache,COMPATIBLE,EXACT,EXACT,EXACT,EXACT,PARTIAL,PARTIAL_SUPPORT,"A total of 375 patients with recurrent or metastatic stage IIIB/IV NSCLC, who had either exon 19 deletion or the L858R mutation in exon 21, and had received either gefitinib (n = 228) or erlotinib (n = 147), were included in the study. The overall response rates and disease control rates in the gefitinib- or erlotinib-treated groups were 76.9% versus 74.4% and 90.1% versus 86.8%, respectively.","The gefitinib result is not isolated to L858R alone; the population also contains exon-19 deletion.",MEDIUM,"Direct claim-level PMID; mixed biomarker population limits specificity."
CLM-89ea67ee7946d9ccd552,A,GEP-9f38bf2be2084b5a0a98,SU-24736073-group-erlotinib,24736073,CLAIM_LEVEL,claim_linked,true,ABSTRACT,METHODS/RESULTS,abstract_cache,COMPATIBLE,EXACT,EXACT,EXACT,EXACT,PARTIAL,PARTIAL_SUPPORT,"A total of 375 patients with recurrent or metastatic stage IIIB/IV NSCLC, who had either exon 19 deletion or the L858R mutation in exon 21, and had received either gefitinib (n = 228) or erlotinib (n = 147), were included in the study. The overall response rates and disease control rates in the gefitinib- or erlotinib-treated groups were 76.9% versus 74.4% and 90.1% versus 86.8%, respectively.","The erlotinib result is not isolated to L858R alone; the population also contains exon-19 deletion.",MEDIUM,"Direct claim-level PMID; mixed biomarker population limits specificity."
CLM-5ce49705979f72f174e9,A,GEP-9cd7799b075d78a62206,SU-37879444-arm-amivantamab-chemotherapy,37879444,CLAIM_LEVEL,claim_linked,true,ABSTRACT,PATIENTS AND METHODS/RESULTS,abstract_cache,EXACT,EXACT,EXACT,EXACT,EXACT,EXACT,DIRECT_SUPPORT,"A total of 657 patients with EGFR-mutated (exon 19 deletions or L858R) locally advanced or metastatic NSCLC after disease progression on osimertinib were randomized ... to receive amivantamab-lazertinib-chemotherapy, chemotherapy, or amivantamab-chemotherapy. PFS was significantly longer for amivantamab-chemotherapy ... versus chemotherapy [HR ... 0.48 ... median of 6.3 versus 4.2 months].","None for the essential regimen, direction, disease, biomarker, or setting fields.",HIGH,"Direct abstract support; the structured regimen is the amivantamab-carboplatin-pemetrexed arm."
CLM-4a89bb28592af7ebaccf,A,GEP-5195aba56b65a5d59fa4,SU-38942080-arm-amivantamab-lazertinib,38942080,CLAIM_LEVEL,claim_linked,true,ABSTRACT,BACKGROUND/PATIENTS AND METHODS/RESULTS,abstract_cache,COMPATIBLE,EXACT,EXACT,EXACT,EXACT,COMPATIBLE,DIRECT_SUPPORT,"Amivantamab-lazertinib significantly prolonged progression-free survival (PFS) versus osimertinib in patients with epidermal growth factor receptor (EGFR)-mutant advanced non-small-cell lung cancer (NSCLC). This analysis included patients with treatment-naive, EGFR-mutant advanced NSCLC randomized to amivantamab-lazertinib or osimertinib. Ex19del and L858R ctDNA in blood was analyzed at baseline.","The reported primary population is EGFR-mutant; the abstract does not give a separate L858R-only effect estimate.",HIGH,"The OR biomarker is explicitly named in the methods, so support is compatible at the requested claim granularity."
