claim_id,claim_domain,claim_type,direction,graph_evidence_id,graph_escat_status,claim_escat_status,source_unit_escat_status,coverage_class,notes
CLM-01aba27a2fb14d531e2d,therapeutic,atomic_intervention_claim,sensitivity,evidence:100001,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-0269a5c7db107cd8a893,therapeutic,atomic_intervention_claim,sensitivity,evidence:963,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-02e4c1aec896020b2f8a,therapeutic,atomic_intervention_claim,sensitivity,evidence:276,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-05cfe6e3eb14e9a7e4c5,therapeutic,atomic_intervention_claim,sensitivity,evidence:7363,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-074de0af80e7ed34d41a,therapeutic,atomic_intervention_claim,sensitivity,evidence:982,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-091cf6602db85e2a2d41,therapeutic,atomic_intervention_claim,sensitivity,evidence:296,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-0e59264facd7b2df0e67,therapeutic,atomic_intervention_claim,resistance,evidence:1484,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-0f234bc9c53847910521,therapeutic,atomic_intervention_claim,resistance,evidence:100002,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-159208efa2462a277ce8,therapeutic,atomic_intervention_claim,resistance,evidence:766,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-1bdedb4c451fe79a073f,therapeutic,atomic_intervention_claim,sensitivity,evidence:11598,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-1d3ba8b6ae49232969c7,therapeutic,atomic_intervention_claim,sensitivity,evidence:7329,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-1d3f469e0b264de4d203,therapeutic,atomic_intervention_claim,sensitivity,evidence:1236,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-1da32e197ff9793e6508,therapeutic,atomic_intervention_claim,sensitivity,evidence:885,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-1e4f404ac84ee591fbda,therapeutic,atomic_intervention_claim,sensitivity,evidence:5908,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-1e701d1f8bedef0977f8,therapeutic,atomic_intervention_claim,sensitivity,evidence:6183,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
CLM-1ebe76eee72069c364bc,therapeutic,atomic_intervention_claim,sensitivity,evidence:5922,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO_ESCAT_RECORD,"No ESCAT annotation exists in graph record or active claim"
