candidate_id,pmid_raw,pmid,syntactically_valid,invalid_reason,scopes,rule_id,predicate,provenance_level,disease,gene,alteration,intervention,direction,evidence_scope,evidence_record_ids,sibling_drug_count
GCA-a082283f128c49620273b965,16081687,16081687,True,,evidence_record|linked_publication,gca/2.0/evidence-statement,has_evidence_statement,PMID_CANDIDATE_LEVEL,Lymphoid Leukemia|Lymphoid Leukemia,JAK2,V617F,,Supports,Diagnostic,evidence:1,1
GCA-f5daa5b3a8c67d8b3baeb519,15146165,15146165,True,,evidence_record|linked_publication,gca/2.0/evidence-statement,has_evidence_statement,PMID_CANDIDATE_LEVEL,Gastrointestinal Stromal Tumor|Gastrointestinal Stromal Tumor,PDGFRA,D842V,,Supports,Diagnostic,evidence:2,1
GCA-9428884f84962d2f4337567d,22490330,22490330,True,,evidence_record|linked_publication,gca/2.0/evidence-statement,has_evidence_statement,PMID_CANDIDATE_LEVEL,Acute Myeloid Leukemia|Acute Myeloid Leukemia,DNMT3A,R882,,Supports,Diagnostic,evidence:4,1
GCA-b04b8854d6427ee97c913de3,16081687,16081687,True,,evidence_record|linked_publication,gca/2.0/evidence-statement,has_evidence_statement,PMID_CANDIDATE_LEVEL,Chronic Myeloid Leukemia|Chronic Myeloid Leukemia,JAK2,V617F,,Supports,Diagnostic,evidence:5,1
GCA-486b7302057f637276a92187,16081687,16081687,True,,evidence_record|linked_publication,gca/2.0/evidence-statement,has_evidence_statement,PMID_CANDIDATE_LEVEL,Chronic Myeloid Leukemia|Chronic Myeloid Leukemia,JAK2,V617F,,Supports,Diagnostic,evidence:6,1
GCA-7c2806a3b7fc4aa5440eb317,19287384,19287384,True,,evidence_record|linked_publication,gca/2.0/evidence-statement,has_evidence_statement,PMID_CANDIDATE_LEVEL,Bone Marrow Cancer|Bone Marrow Cancer,JAK2,V617F,,Supports,Diagnostic,evidence:7,1
GCA-b21a0126dfb693b55dd24946,24571676,24571676,True,,evidence_record|linked_publication,gca/2.0/evidence-statement,has_evidence_statement,PMID_CANDIDATE_LEVEL,Acute Leukemia|Acute Leukemia,KRAS,G12,,Supports,Diagnostic,evidence:8,1
GCA-3d70d94c4523efdb8a5caaee,23861977,23861977,True,,evidence_record|linked_publication,gca/2.0/evidence-statement,has_evidence_statement,PMID_CANDIDATE_LEVEL,Melanoma|Melanoma,NRAS,Q61,,Supports,Diagnostic,evidence:10,1
GCA-38a97d2db56114e2562cb8d5,22081665,22081665,True,,evidence_record|linked_publication,gca/2.0/evidence-statement,has_evidence_statement,PMID_CANDIDATE_LEVEL,Acute Myeloid Leukemia|Acute Myeloid Leukemia,DNMT3A,R882,,Does Not Support,Predictive,evidence:11,1
GCA-499353360e32454349d54c68,22081665,22081665,True,,evidence_record|linked_publication,gca/2.0/evidence-to-drug,associated_with_resistance_to,PMID_PARENT_LEVEL_ONLY,Acute Myeloid Leukemia|Acute Myeloid Leukemia,DNMT3A,R882,DAUNORUBICIN HYDROCHLORIDE,Resistance,Predictive,evidence:11,1
GCA-ecf94a42fe154ecd8d9221d5,19915144,19915144,True,,evidence_record|linked_publication,gca/2.0/evidence-statement,has_evidence_statement,PMID_CANDIDATE_LEVEL,Melanoma|Melanoma,MAP2K1,P124S,,Supports,Predictive,evidence:12,1
