case_id,category,problems,actual_routing,protocol_required_routing,oncology_fields_populated
A2-therapy-discovery,IN_SCOPE_COMPLETE,TRANSPORT:FORCED_TOOL_IGNORED|VERIFIER_DISAGREEMENT|ROUTING_GAP:STOP_NO_VALID_CASECONTEXT!=PROCEED_TO_RETRIEVAL,STOP_NO_VALID_CASECONTEXT,PROCEED_TO_RETRIEVAL,
B2-gene-only-no-alteration,IN_SCOPE_INCOMPLETE,alteration:POPULATED_BUT_MUST_BE_NULL|AMBIGUITY_NOT_RECORDED,PROCEED_TO_RETRIEVAL,PROCEED_TO_RETRIEVAL,disease|gene|alteration
B4-no-clinical-question,IN_SCOPE_INCOMPLETE,TRANSPORT:INVALID_TOOL_ARGUMENTS|VERIFIER_DISAGREEMENT|AMBIGUITY_NOT_RECORDED|ROUTING_GAP:STOP_NO_VALID_CASECONTEXT!=PROCEED_TO_RETRIEVAL,STOP_NO_VALID_CASECONTEXT,PROCEED_TO_RETRIEVAL,
B5-generic-disease-label,IN_SCOPE_INCOMPLETE,TRANSPORT:FORCED_TOOL_IGNORED|VERIFIER_DISAGREEMENT|AMBIGUITY_NOT_RECORDED|ROUTING_GAP:STOP_NO_VALID_CASECONTEXT!=PROCEED_TO_RETRIEVAL,STOP_NO_VALID_CASECONTEXT,PROCEED_TO_RETRIEVAL,
C2-two-readings,AMBIGUOUS,AMBIGUITY_NOT_RECORDED,PROCEED_TO_RETRIEVAL,PROCEED_TO_RETRIEVAL,disease|gene|alteration
C3-non-specific-entity,AMBIGUOUS,TRANSPORT:FORCED_TOOL_IGNORED|VERIFIER_DISAGREEMENT|AMBIGUITY_NOT_RECORDED|ROUTING_GAP:STOP_NO_VALID_CASECONTEXT!=PROCEED_TO_RETRIEVAL,STOP_NO_VALID_CASECONTEXT,PROCEED_TO_RETRIEVAL,
C5-negated-finding,AMBIGUOUS,TRANSPORT:FORCED_TOOL_IGNORED|VERIFIER_DISAGREEMENT|AMBIGUITY_NOT_RECORDED|ROUTING_GAP:STOP_NO_VALID_CASECONTEXT!=PROCEED_TO_RETRIEVAL,STOP_NO_VALID_CASECONTEXT,PROCEED_TO_RETRIEVAL,
D1-weather,OUT_OF_SCOPE,ROUTING_GAP:PROCEED_TO_RETRIEVAL!=STOP_OUT_OF_SCOPE,PROCEED_TO_RETRIEVAL,STOP_OUT_OF_SCOPE,
D2-password,OUT_OF_SCOPE,ROUTING_GAP:PROCEED_TO_RETRIEVAL!=STOP_OUT_OF_SCOPE,PROCEED_TO_RETRIEVAL,STOP_OUT_OF_SCOPE,
D3-poem,OUT_OF_SCOPE,ROUTING_GAP:PROCEED_TO_RETRIEVAL!=STOP_OUT_OF_SCOPE,PROCEED_TO_RETRIEVAL,STOP_OUT_OF_SCOPE,
