qid,system,hop_count,qtype,precision,recall,f1,exact,n_pred,n_match,retr_recall,ctx_words,answer,reader,is_err
Q001,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,FLT3,qwen3-coder-next,False
Q001,rag_dense,2,drug_to_gene_cdx,0.0,0.0,0.0,0.0,0,0,0.0,948,NON DETERMINABILE,qwen3-coder-next,False
Q001,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,943,FLT3,qwen3-coder-next,False
Q001,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,943,FLT3,qwen3-coder-next,False
Q002,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,15,ALK,qwen3-coder-next,False
Q002,rag_dense,2,drug_to_gene_cdx,0.0,0.0,0.0,0.0,0,0,0.0,972,NON DETERMINABILE,qwen3-coder-next,False
Q002,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,941,ALK,qwen3-coder-next,False
Q002,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,947,ALK,qwen3-coder-next,False
Q003,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,EGFR,qwen3-coder-next,False
Q003,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,957,EGFR,qwen3-coder-next,False
Q003,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,944,EGFR,qwen3-coder-next,False
Q003,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,938,EGFR,qwen3-coder-next,False
Q004,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,3,3,1.0,45,"NTRK1, NTRK2, NTRK3",qwen3-coder-next,False
Q004,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,3,3,1.0,964,"NTRK1,NTRK2,NTRK3",qwen3-coder-next,False
Q004,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,3,3,1.0,940,"NTRK1,NTRK2,NTRK3",qwen3-coder-next,False
Q004,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,3,3,1.0,938,"NTRK1, NTRK2, NTRK3",qwen3-coder-next,False
Q005,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,14,RET,qwen3-coder-next,False
Q005,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,948,RET,qwen3-coder-next,False
Q005,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,940,RET,qwen3-coder-next,False
Q005,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,951,RET,qwen3-coder-next,False
Q006,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,44,KRAS,qwen3-coder-next,False
Q006,rag_dense,2,drug_to_gene_cdx,0.0,0.0,0.0,0.0,0,0,0.0,947,NON DETERMINABILE,qwen3-coder-next,False
Q006,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,946,KRAS,qwen3-coder-next,False
Q006,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,944,KRAS,qwen3-coder-next,False
Q007,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,15,MET,qwen3-coder-next,False
Q007,rag_dense,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,963,MET,qwen3-coder-next,False
Q007,rag_bm25,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,941,MET,qwen3-coder-next,False
Q007,rag_hybrid,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,1,1,1.0,949,MET,qwen3-coder-next,False
Q008,graphrag,2,drug_to_gene_cdx,1.0,1.0,1.0,1.0,2,2,1.0,28,"BCR, ABL1",qwen3-coder-next,False
Q008,rag_dense,2,drug_to_gene_cdx,0.0,0.0,0.0,0.0,0,0,0.0,950,NON DETERMINABILE,qwen3-coder-next,False
